genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_min,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Opera,Antonio Caldara,La Morte d'Abel: Quel buon pastor son io,3E9zimwA2D28LNY27Ymrey,5,0.958,0.282,10.493333333333334,0.107,0.0307,0.269,-19.904,0.0508,116.531,0.0699
Hip-Hop,Tee Grizzley,From The D To The A (feat. Lil Yachty),2NyrXRn4tancYPW6JwtTl2,75,0.195,0.851,2.6447333333333334,0.625,0.0,0.266,-5.417,0.303,99.061,0.668
Anime,Nobuo Uematsu,"Broken Spell, Healed Hearts",1NTFWyqzSa1KqMB0B3q82S,20,0.823,0.545,2.0582166666666666,0.285,0.32,0.102,-16.449,0.0384,69.996,0.431
Reggaeton,Pablo Chill-E,Diego Maradona,62ppMwmo9dkRxuA4tlVTka,34,0.0651,0.789,3.057616666666666,0.741,6.79e-06,0.174,-7.669,0.295,157.039,0.524
Comedy,Dennis Miller,Sleep Apnea Sleepover,5s5qxptKnE5iWdmqy2RVgr,11,0.856,0.584,1.0873333333333333,0.535,0.0,0.703,-11.959,0.931,109.06,0.559
Comedy,Marc Maron,Four Cats,0OYMdnggrwGlM1DDSH0Yun,23,0.865,0.642,4.349116666666666,0.669,0.0,0.438,-8.729,0.863,122.512,0.572
World,The Belonging Co,Zeal (feat. Henry Seeley),3DL0ENqjvC8ThxivuL3AUW,54,9.89e-05,0.523,4.048566666666667,0.854,0.0,0.69,-6.129,0.0485,130.001,0.356
Reggaeton,Tego Calderon,Estamos Calle,3TwkyuPWgTIc9ZXfEb7MVk,41,0.248,0.564,4.15695,0.818,6.89e-06,0.149,-5.446,0.294,93.527,0.35
Soundtrack,Dan Romer,A Fate Worse Than Death,4KtVKVJM4YMJbPgQYmHnQS,28,0.99,0.162,0.60355,0.0105,0.772,0.0951,-22.618,0.0446,136.0,0.0381
Soul,SALES,Crash,3gV6k0rYvUCKyDHDW0ksMx,43,0.862,0.757,3.4255333333333335,0.454,0.00104,0.377,-8.531,0.0296,93.978,0.492
Country,The Lacs,Out Here,5ypnnr3iqI0JuyZteBPPQu,44,0.061,0.652,4.664666666666666,0.662,0.0,0.103,-7.842,0.0517,135.048,0.81
Jazz,Mujo,Sunset,6oVRnhSdc39xH73lrJSlJ5,56,0.336,0.563,1.8942333333333337,0.148,0.877,0.103,-14.417,0.521,83.935,0.594
Alternative,Hieroglyphics,Make Your Move,1265N14L1xyzKNr5XZzuTP,47,0.585,0.807,4.4897833333333335,0.625,6.47e-06,0.11,-6.57,0.114,94.064,0.756
Soundtrack,Hans Zimmer,Sacred Pool Of Tears,1EJ6YBU1lqmzwO05M7Du8t,34,0.795,0.181,9.846883333333333,0.168,0.85,0.132,-17.879,0.0403,91.21,0.0552
Jazz,The Budos Band,Black Venom,6vr3ig6qmd9CkjPwSrN5gb,44,0.0298,0.575,3.5357833333333333,0.787,0.893,0.121,-9.439,0.0441,101.096,0.836
Rock,Bruce Springsteen,The River,7HrzErXq3TsKOY1gmdIShB,65,0.179,0.587,5.025783333333333,0.536,2.75e-05,0.305,-11.248,0.0304,117.498,0.59
Classical,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)",2xizRhme7pYeITbH1NLLGt,62,0.91,0.109,2.7811166666666667,0.167,0.92,0.109,-18.669,0.0382,86.554,0.0692
World,Rodrigo y Gabriela,Georges Street / The Tartar Frigate,2rAbY1j7rXj6HJghS1SgKm,31,0.803,0.7,4.35245,0.443,0.000414,0.149,-8.994,0.0476,123.078,0.873
Ska,Fishbone,Deep Inside,3vCVmc9bM3TSMl3odUz4PD,15,0.0382,0.63,1.3631166666666668,0.979,8.99e-06,0.184,-4.645,0.0758,106.484,0.582
Indie,bülow,SAD AND BORED,1MwhMHMP9gu2pGRNeJ2u0u,53,0.0232,0.466,3.362,0.737,6.79e-05,0.204,-6.52,0.362,94.589,0.45
Movie,Grégory Lemarchal,Même Si (What You'Re Made Of) - Solo Version,2iNU9vrQ7ZisCS4kJN6qmT,38,0.506,0.359,3.937333333333333,0.567,0.0,0.97,-6.812,0.0402,142.064,0.097
Electronic,Blockhead,You'll Get over It,5HUsSAnJJMiX5tY5BxBXON,32,0.002,0.655,6.523116666666667,0.515,0.813,0.56,-10.048,0.0348,130.031,0.226
Alternative,Masego,I DO EVERYTHING!,2LgEYzVoSKp6fsST6trUh2,49,0.521,0.76,6.056266666666667,0.393,0.000668,0.796,-11.219,0.525,135.293,0.34
Folk,David Gray,It's Late,03miAvZ16WquVWHbQD4cCB,33,0.61,0.826,2.259333333333333,0.267,0.0188,0.0863,-13.749,0.0596,115.059,0.331
Jazz,Digable Planets,What Cool Breezes Do,7gfLTck0F9NdwXgcYuxbGj,36,0.0943,0.882,3.3651166666666668,0.341,0.0,0.103,-17.014,0.463,93.212,0.941
Alternative,DaniLeigh,No Limits,5cPdJLM4dTbC3YPs2jYAoe,54,0.451,0.858,1.67245,0.458,4.32e-06,0.108,-8.492,0.121,133.965,0.242
World,Matt Maher,Your Love Is Extravagant,6fwEQmBxlDAiLbsB9gsk6K,29,0.653,0.617,5.84045,0.321,1.31e-06,0.104,-12.078,0.0338,140.278,0.183
Dance,Usher,Papers,77fP7UixHMYEIFT8NS92Ul,47,0.0339,0.802,4.356883333333333,0.556,0.0,0.0958,-5.395,0.0418,120.047,0.158
Folk,John Denver,Calypso,2eD5bmknmcojiCxoKpvVTI,45,0.82,0.219,3.602883333333333,0.43,4.39e-05,0.124,-9.202,0.0309,180.05,0.495
Anime,Ryuichi Sakamoto,closing in,78yBusrQMmSNhUmqqwkQXb,12,0.215,0.535,1.64745,0.29,0.846,0.117,-15.639,0.0438,126.699,0.0297
Blues,Buffalo Springfield,Questions,7w1OJlqxiRxnC4ct8yNN1n,32,0.315,0.581,2.977333333333333,0.509,0.00253,0.121,-9.182,0.0255,105.99,0.831
Reggaeton,CNCO,Tan Fácil,1TxgZRcy3kZ7JaEp88MDbC,66,0.292,0.706,3.51,0.884,0.0,0.344,-3.767,0.0435,90.036,0.506
Country,Tom T. Hall,"Old Dogs, Children And Watermelon Wine",0TD22Pd8CsaLwMWMhzUusU,44,0.681,0.544,4.237783333333334,0.297,0.000397,0.187,-15.972,0.0302,109.573,0.614
Classical,Howard Shore,The Passage of the Marshes,5LpkX1NtwX7vnVoGetUa0z,41,0.505,0.135,2.77,0.1,0.918,0.115,-24.384,0.0411,82.564,0.0322
Anime,Capcom Sound Team,萌芽の農場,1kNQCVUf5651B7RGonwE5f,13,0.00397,0.422,3.9842166666666663,0.694,0.000414,0.392,-9.823,0.0281,157.519,0.837
Movie,Larry Groce,Pancho and Lefty,7CXtVT82UZaqvj5laFz3dR,1,0.642,0.565,4.643783333333333,0.457,0.0,0.0813,-8.328,0.0272,130.911,0.578
